"TABELA";"CAMPO";"TIPO";"TAMANHO"
"ALUNO                                                                                        ";"CODIGO                                                                                       ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"NOME                                                                                         ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"CODIGORESPONSAVEL                                                                            ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"RG                                                                                           ";"VARCHAR  ";"20"
"ALUNO                                                                                        ";"ORGAOEXPEDICAO                                                                               ";"VARCHAR  ";"10"
"ALUNO                                                                                        ";"DATAEXPEDICAO                                                                                ";"DATE     ";"4"
"ALUNO                                                                                        ";"CPF                                                                                          ";"VARCHAR  ";"20"
"ALUNO                                                                                        ";"CODIGOPAI                                                                                    ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"PAI                                                                                          ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"PROFISSAOPAI                                                                                 ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"CODIGOMAE                                                                                    ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"MAE                                                                                          ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"PROFISSAOMAE                                                                                 ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"NATURALIDADE                                                                                 ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"ESTADOCIVIL                                                                                  ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"ESCOLARIDADE                                                                                 ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"CODIGORUA                                                                                    ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"RUA                                                                                          ";"VARCHAR  ";"100"
"ALUNO                                                                                        ";"NUMERO                                                                                       ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"COMPLEMENTO                                                                                  ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"CODIGOBAIRRO                                                                                 ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"BAIRRO                                                                                       ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"CODIGOCIDADE                                                                                 ";"INTEGER  ";"4"
"ALUNO                                                                                        ";"CIDADE                                                                                       ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"UF                                                                                           ";"VARCHAR  ";"2"
"ALUNO                                                                                        ";"CEP                                                                                          ";"VARCHAR  ";"20"
"ALUNO                                                                                        ";"TELEFONE                                                                                     ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"EMAIL                                                                                        ";"VARCHAR  ";"50"
"ALUNO                                                                                        ";"NASCIMENTO                                                                                   ";"DATE     ";"4"
"ALUNO                                                                                        ";"SEXO                                                                                         ";"VARCHAR  ";"15"
"ALUNO                                                                                        ";"CORRACA                                                                                      ";"VARCHAR  ";"15"
"ALUNO                                                                                        ";"NECESP                                                                                       ";"VARCHAR  ";"30"
"ALUNO                                                                                        ";"SUS                                                                                          ";"VARCHAR  ";"20"
"ALUNO                                                                                        ";"NUMREGNAS                                                                                    ";"VARCHAR  ";"30"
"ALUNO                                                                                        ";"LIVROREGNAS                                                                                  ";"VARCHAR  ";"10"
